#giorno	abruzzo	basil.	calab.	camp.	emilia	friuli	lazio	liguria	lombar.	marche	molise	PAbolz.	PAtre.	piemon.	puglia	sard.	sicilia	toscana	umbria	aosta	veneto	nord	centro	sud	isole
1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0
2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0
3	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0
4	0	0	0	0	1	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0
5	0	0	0	0	2	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	21	0	0	0
6	0	0	0	0	4	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	2	29	0	0	0
7	0	0	0	0	8	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	2	34	0	0	0
8	0	0	0	0	11	0	0	0	38	1	0	0	0	0	0	0	0	0	0	0	2	51	1	0	0
9	0	0	0	0	18	0	0	1	55	2	0	0	0	0	0	0	0	0	0	0	3	77	2	0	0
10	0	0	0	0	22	0	0	1	73	4	0	0	0	0	1	0	0	0	0	0	6	102	4	1	0
11	0	0	0	0	30	0	0	3	98	4	0	0	0	2	1	0	0	0	0	0	10	143	4	1	0
12	0	0	0	0	37	0	1	3	135	4	0	0	0	4	1	0	0	0	0	0	12	191	5	1	0
13	0	0	0	0	48	0	1	4	154	6	0	0	0	5	2	0	0	0	0	0	13	224	7	2	0
14	0	0	0	0	56	1	3	6	267	7	0	0	0	5	3	0	0	0	0	0	18	353	10	3	0
15	0	0	0	0	70	1	5	7	333	10	0	0	0	13	3	0	0	1	0	0	20	444	16	3	0
16	1	0	0	0	85	3	6	8	468	13	0	0	0	17	3	0	0	1	0	0	26	607	21	3	0
17	1	0	0	1	113	6	6	8	617	18	0	0	0	21	5	0	0	1	0	1	29	795	26	6	0
18	2	0	0	1	146	8	9	11	744	22	0	1	1	26	5	0	2	5	0	1	32	970	38	6	2
19	2	0	0	2	201	10	11	17	890	27	0	2	2	46	5	0	2	5	1	1	42	1211	46	7	2
20	2	0	0	6	241	13	13	27	966	36	0	3	2	59	8	0	2	6	1	1	55	1367	58	14	2
21	3	0	1	9	284	14	16	33	1218	46	0	5	6	81	16	2	2	8	1	1	63	1705	74	26	4
22	4	0	1	9	346	22	19	50	1420	57	1	6	6	111	16	2	2	14	1	2	69	2032	96	26	4
23	6	0	1	9	393	30	23	60	1640	69	1	8	7	133	18	2	3	17	1	2	80	2353	117	28	5
24	7	0	1	9	458	31	32	73	1959	92	1	9	7	154	19	2	3	22	2	3	94	2788	156	29	5
25	11	0	3	17	531	36	38	91	2168	115	2	14	12	175	25	2	4	38	2	6	115	3148	206	45	6
26	17	0	4	17	640	38	43	119	2549	137	5	17	13	209	26	2	4	47	7	7	131	3723	256	47	6
27	22	0	5	22	715	42	50	152	3095	154	7	20	28	238	29	4	6	72	10	8	146	4444	315	56	10
28	33	0	8	29	816	47	53	171	3456	184	7	23	35	283	31	7	8	91	16	9	169	5009	384	68	15
29	38	1	7	49	892	54	63	212	3776	203	7	29	41	315	37	11	13	109	16	12	192	5523	436	93	24
